'Name or Address' , 'Policy' , 'Data'
'*.crispychar.com' , 'BlockNxdomainDomain' , ''
'*.cssc-net.co' , 'BlockNxdomainDomain' , ''
'*.cupertinovillage.com' , 'BlockNxdomainDomain' , ''
'*.currentlybrewing.co.uk' , 'BlockNxdomainDomain' , ''
'*.curveroad.com' , 'BlockNxdomainDomain' , ''
'*.customer-certificate.com' , 'BlockNxdomainDomain' , ''
'*.customer-managers.info' , 'BlockNxdomainDomain' , ''
'*.customer-recovery.info' , 'BlockNxdomainDomain' , ''
'*.customers-activities.info' , 'BlockNxdomainDomain' , ''
'*.customers-manager.info' , 'BlockNxdomainDomain' , ''
'*.customers-services.info' , 'BlockNxdomainDomain' , ''
'*.customize-identity.info' , 'BlockNxdomainDomain' , ''
